frame.time_delta,frame.time_epoch,ip.dst,ip.proto,ip.src,ip.ttl,ip.version,udp.dstport,udp.srcport,udp.length,udp.payload,udp.time_relative,udp.time_delta,ssdp,http.host,http.request.full_uri,http.request.line,http.request.method,http.request.version,Label
0.000126,1607886072,1,17,0,57,4,61896,443,33,5,1.660105,0.021858,0,0,0,0,0,0,0
0.000382,1607886072,2,17,1,128,4,53,61843,46,11,0,0,0,0,0,0,0,0,0
0.000114,1607886072,2,17,3,128,4,53,64361,42,6,0,0,0,0,0,0,0,0,0
0.000118,1607886072,2,17,3,128,4,53,54285,48,1,0,0,0,0,0,0,0,0,0
0.000122,1607886072,2,17,3,128,4,53,52102,49,8,0,0,0,0,0,0,0,0,0
0.000115,1607886072,2,17,3,128,4,53,61117,38,9,0,0,0,0,0,0,0,0,0
0.000174,1607886072,2,17,1,128,4,53,61843,46,11,0.065421,0.065421,0,0,0,0,0,0,0
5.80E-05,1607886072,1,17,0,57,4,61896,443,33,7,1.772099,0.111994,0,0,0,0,0,0,0
2.00E-06,1607886072,1,17,0,57,4,61896,443,35,4,1.772101,2.00E-06,0,0,0,0,0,0,0
8.30E-05,1607886072,3,17,2,1,4,5353,5353,36,0,492.213976,0.890897,0,0,0,0,0,0,0
0.000137,1607886072,3,17,2,1,4,5353,5353,36,0,492.214115,0.000139,0,0,0,0,0,0,0
7.10E-05,1607886072,3,17,2,1,4,5353,5353,36,0,492.214742,0.000627,0,0,0,0,0,0,0
9.20E-05,1607886073,2,17,3,128,4,53,57697,41,2,0.232785,0.232651,0,0,0,0,0,0,0
2.00E-06,1607886073,2,17,3,128,4,53,50320,50,10,0.220742,0.220742,0,0,0,0,0,0,0
2.00E-06,1607886073,2,17,3,128,4,53,64361,42,6,0.207428,0.207428,0,0,0,0,0,0,0
2.00E-06,1607886073,2,17,3,128,4,53,54285,48,1,0.20001,0.20001,0,0,0,0,0,0,0
2.00E-06,1607886073,2,17,3,128,4,53,52102,49,8,0.185903,0.185903,0,0,0,0,0,0,0
1.00E-06,1607886073,2,17,3,128,4,53,61117,38,9,0.163346,0.163346,0,0,0,0,0,0,0
2.00E-06,1607886072,0,17,4,255,4,1900,47660,102,3,104.633562,0.001208,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,8425,102,3,105.897242,0.001207,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,43811,102,3,104.006391,0.001208,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,3801,102,3,98.978206,0.001207,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,28117,102,3,106.559316,0.001207,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,48774,102,3,104.434879,0.001208,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,26769,102,3,101.993187,0.001207,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,11680,102,3,102.871974,0.001208,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,13883,102,3,103.684562,0.001207,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,4128,102,3,101.446957,0.001208,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,12077,102,3,105.308175,0.001207,1,1,1,1,1,1,1
